date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:50	106110/106110	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20May%202020%2015:44:47%20GMT	https://djordjevracevicstickrungiveaway.blogspot.com/2020/04/djordje-vracko-vracevic-giveaway.html?m=1	C:/xampp/htdocs/phise/phise/djordjevracevicstickrungiveaway.blogspot.com/2020/04/djordje-vracko-vracevic-giveaway40aa.html	(from )
14:05:50	141/141	---MCZ	200	added ('OK')	text/plain	date:Fri,%2015%20May%202020%2015:44:47%20GMT	https://djordjevracevicstickrungiveaway.blogspot.com/robots.txt		(from )
14:05:51	97183/97183	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20May%202020%2015:44:47%20GMT	https://djordjevracevicstickrungiveaway.blogspot.com/2020/04/djordje-vracko-vracevic-giveaway.html	C:/xampp/htdocs/phise/phise/djordjevracevicstickrungiveaway.blogspot.com/2020/04/djordje-vracko-vracevic-giveaway.html	(from https://djordjevracevicstickrungiveaway.blogspot.com/2020/04/djordje-vracko-vracevic-giveaway.html?m=1)
14:05:51	2491/2491	---M--	200	added ('OK')	image/png	etag:%22v21%22	https://1.bp.blogspot.com/-lfHqP3tKZXU/XrFwkFEVqwI/AAAAAAAAABw/8iYfRDFOzIUlIL0pxNt1r_7lDevH6J-FgCEwYBhgL/s1600/crystaleyes.png	C:/xampp/htdocs/phise/phise/1.bp.blogspot.com/-lfHqP3tKZXU/XrFwkFEVqwI/AAAAAAAAABw/8iYfRDFOzIUlIL0pxNt1r_7lDevH6J-FgCEwYBhgL/s1600/crystaleyes.png	(from https://djordjevracevicstickrungiveaway.blogspot.com/2020/04/djordje-vracko-vracevic-giveaway.html?m=1)
14:05:52	21654/21654	---M--	200	added ('OK')	image/jpeg	etag:%22v27%22	http://2.bp.blogspot.com/-30fd-p-GRkU/XrFzqmvsdHI/AAAAAAAAACY/hLrH5_p73wAfd4a78hTh_DG5JvIYLSz4QCK4BGAYYCw/s0/pVtmeA6t_400x400.jpg	C:/xampp/htdocs/phise/phise/2.bp.blogspot.com/-30fd-p-GRkU/XrFzqmvsdHI/AAAAAAAAACY/hLrH5_p73wAfd4a78hTh_DG5JvIYLSz4QCK4BGAYYCw/s0/pVtmeA6t_400x400.jpg	(from https://djordjevracevicstickrungiveaway.blogspot.com/2020/04/djordje-vracko-vracevic-giveaway.html?m=1)
14:05:52	11800/11800	---MC-	200	added ('OK')	text/javascript	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://www.gstatic.com/external_hosted/clipboardjs/clipboard.min.js	C:/xampp/htdocs/phise/phise/www.gstatic.com/external_hosted/clipboardjs/clipboard.min.js	(from https://djordjevracevicstickrungiveaway.blogspot.com/2020/04/djordje-vracko-vracevic-giveaway.html?m=1)
14:05:53	1/1	---MC-	200	added ('OK')	text/css	date:Sat,%2016%20May%202020%2007:05:53%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=7728183180718111155&zx=848ffbde-9877-4137-ba2f-8ee7f19425d0	C:/xampp/htdocs/phise/phise/www.blogger.com/dyn-css/authorization1b0a.css	(from https://djordjevracevicstickrungiveaway.blogspot.com/2020/04/djordje-vracko-vracevic-giveaway.html?m=1)
14:05:53	74783/74783	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20May%202020%2007:05:54%20GMT	https://djordjevracevicstickrungiveaway.blogspot.com/2020/04/https	C:/xampp/htdocs/phise/phise/djordjevracevicstickrungiveaway.blogspot.com/2020/04/https.6.delayed	(from https://djordjevracevicstickrungiveaway.blogspot.com/2020/04/djordje-vracko-vracevic-giveaway.html?m=1)
14:05:54	2770/2770	---M--	200	added ('OK')	image/png	etag:%22v21%22	https://1.bp.blogspot.com/-qfSMP88aAN8/XrFwcAjtL8I/AAAAAAAAABs/ScfXO0nGULMT2Jeo9LeZZxpmDf0h_LBcACLcBGAsYHQ/s1600/japanbg.png	C:/xampp/htdocs/phise/phise/1.bp.blogspot.com/-qfSMP88aAN8/XrFwcAjtL8I/AAAAAAAAABs/ScfXO0nGULMT2Jeo9LeZZxpmDf0h_LBcACLcBGAsYHQ/s1600/japanbg.png	(from https://djordjevracevicstickrungiveaway.blogspot.com/2020/04/djordje-vracko-vracevic-giveaway.html?m=1)
14:05:54	2974/2974	---M--	200	added ('OK')	image/png	etag:%22v21%22	https://1.bp.blogspot.com/-fvWE46in924/XrFwsNtIvAI/AAAAAAAAACE/YxYxEEbeq8E7NB-c3yP8ORd8Jiw1zBnjACEwYBhgL/s1600/brain.png	C:/xampp/htdocs/phise/phise/1.bp.blogspot.com/-fvWE46in924/XrFwsNtIvAI/AAAAAAAAACE/YxYxEEbeq8E7NB-c3yP8ORd8Jiw1zBnjACEwYBhgL/s1600/brain.png	(from https://djordjevracevicstickrungiveaway.blogspot.com/2020/04/djordje-vracko-vracevic-giveaway.html?m=1)
14:05:54	2927/2927	---M--	200	added ('OK')	image/png	etag:%22v20%22	https://1.bp.blogspot.com/-ZyYZW0j6iXM/XrFwpclEsoI/AAAAAAAAACA/9UyxCL3Syj4lC1h5QZi_CWVtHaDdmWe4ACEwYBhgL/s1600/tannersbow.png	C:/xampp/htdocs/phise/phise/1.bp.blogspot.com/-ZyYZW0j6iXM/XrFwpclEsoI/AAAAAAAAACA/9UyxCL3Syj4lC1h5QZi_CWVtHaDdmWe4ACEwYBhgL/s1600/tannersbow.png	(from https://djordjevracevicstickrungiveaway.blogspot.com/2020/04/djordje-vracko-vracevic-giveaway.html?m=1)
14:05:55	2671/2671	---M--	200	added ('OK')	image/png	etag:%22v21%22	https://1.bp.blogspot.com/-nwaVKwZDayI/XrFwmWnlOxI/AAAAAAAAACE/BFi5cy0cJ48q5jifRQR6YWaZFg8_MC9hACEwYBhgL/s1600/matrixskin.png	C:/xampp/htdocs/phise/phise/1.bp.blogspot.com/-nwaVKwZDayI/XrFwmWnlOxI/AAAAAAAAACE/BFi5cy0cJ48q5jifRQR6YWaZFg8_MC9hACEwYBhgL/s1600/matrixskin.png	(from https://djordjevracevicstickrungiveaway.blogspot.com/2020/04/djordje-vracko-vracevic-giveaway.html?m=1)
